1,Bellezza ❤️
1,Bellezza!
1,"Veru li din diska dwar l-imħabba, imma dak it-tmiem <3"
1,Wisq 🙌
1,Iktar ma nismagħha iktar togħġobni.
1,Sabiħa din il-verżjoni.
0,Xi ħniżrija 🖤
0,Lanqas temmen li xi hadt jista jaghmel bicca xoghol daqshekk hazina.
1,"Mużika, lirika u vuċijiet eċċezzjonali!"
1,Prosit tassew!!
1,Wahda mill isbah diski li qatt smajt!!
1,Prosit u grazzi.
1,"F'Jannar fil- bard, soothing hekk iva soothing... hekk ftit il boghod b'dan il hoss tfakruni fir- Radiohead."
1,Xi ġmiel :)
1,"Tal-genn, l-ewwel darba li smajtha u vera ta widna, taghtni retro feel."
1,"Armonija Bil-vuċijiet eċċellenti, Ħila fuq l-istrumenti xejn inqas."
1,Xi ġmieĺ!
1,Emożżjonali!
1,Il-kanzunetti kollha sbieh.
1,Fuckin grazzi li tezistu <3
1,"Ibqaw ghamlu il muzika, grazzi :)"
1,Ma nistax nieqaf nismaghha... prosit tassew!
1,' Mela : 1) Alla jħobb id-dinja.
0,Hekk jifqu ifottu qas hemm bzonn aktar taxxa!
0,Mohhok biex tolli t taxxa
1,"Prosit [NAME], tassew bravu."
0,You talk too much [NAME]
1,Poddata mill-aqwa u verament interessanti li tħeġġeġ iktar ħsieb fil-fond.
0,Kif ma tistghux idahhluha f mohkom jahasra??
1,Ma tistax titkellem ahjar min hekk [NAME] [SURNAME].
0,"Ghandkom ragun, imma kif ha jixtru flat ta 300.000 u thalsu, jekk ma jahdmux it tnejn, il postijiet iridu ikun prezz ragonevoli"
1,"[NAME] u [NAME] ghadna bzonn 2 bhalkom, biex tmexxu lil Malta."
1,It 2 narakom serji u li jista isir bidla f pajjizna.
1,"Smajt il podcast b attenzjoni kbira u certu dieqa... [NAME] [NAME] jider tifel genwin, kapaci, ragel tal familja u b valuri tajbin."
0,Imma sfortunatament jibqa jobzoq l-istess narrativa (u anke certu hdura) li time and time again falliet ghal PN.
0,Il poplu wera [SURNAME] li mhix strategija tajba u jibqaw bl istess diska.
1,Niehu pjacir insegwik.
1,[NAME] role model ta vera u Ragel sew
1,Well done
1,Interessanti ferm!
1,Żewġ kings
1,Podcast minn l-aktar interresanti.
1,2 minn nies f hajti li inhobb u nirrispetta.
1,Episodju tal-genn.
1,Episodju tal-genn!
1,[NAME] helu u simpatiku wisq.
0,L-iehor m'ghandux is-simpatija ta' [NAME].
1,Xieraq 🤗
1,[NAME] vera persuna gennwina!
1,Jn vera naprezza n nies li jigu l funeral... Imma nahseb li kieku dawk in nies sabu saghtejn qabel il funeral u qattghuha ma l individwu kien ikun hafna ahjar... ❤❤❤
1,"Li qeda tghid Miran, huwa kollhu veru, Ghadni kemm gejt bzonn is servizz taghha, u taghtna servizz veru tajjeb, Hasbet ghall kollox, Grazzi Miren talli taffejtina dak il piz kollhu."
1,Prosit hadt gost nisimghak hafna ghadni kif tlift lil missieri xaghar ijlu u Vera tghinhom lin nies grazzi
1,Mara ta qalb kbira u umli immens❤️❤️.
1,Awguri għas-sena l-ġdida lilkom ilkoll🎉🎊
1,Grazzi [NAME]
0,Għadni niftakar qisu l-bieraħ waqt avveniment tal-President's Foundation for the Wellbeing of Society meta l-eks President [NAME] [NAME] [SURNAME] [SURNAME] ħabbret bi kburija li x-xandara l-kbar qablu li jekk reat iseħħ minn immigrant (illegali) mela x-xandara ma jgħidux min kien is-susspettat!
0,Looool Jekk vera temmen f' dawn l-affarijiet ma tiċċensurax it-taqsima tal-kummenti tat-Times of Malta.
1,"Prosit [NAME] ta dak kullu li qsamt maghna, zgur li kont u ser tibqa tkun ta punt ta reference ghal hafna."
0,Mhux il-hamallagni u l-stupitidita'.
1,♡
1,Proset hafna ta dan il podcast min fomm wahda li garbet u bhekk talem grazzi u proset [NAME].
1,JAlla jtik dak kolhu li tixtieq qalbek ❤
1,Proset ta dan il podcast ۔ Proset [NAME] talli kellek il kuraġġ titkellem fuq il ħaјјa personali۔Kemm int persuna kuraġġuża ،il muleј miegħek 🙏
1,Mara bil b**** ta vera ❤
1,Grazzi bil-quddiem.
0,Pulcinell iehor jaf kollox
1,Karattru helu wisq
1,"Prosit tal programm, imma [NAME] helu wisq"
1,"Irridu Part 2 ma [NAME], wisq poddata tajba u interresanti"
1,"Ċert li ħa jkun għajnuna għal ħafna, għax urejt li, meta tkun fi triq mudlama, bl-għajnuna hemm ċans qawwi ħafna li t-triq tinxteghel u tkun tista' tkompli timxi fit-triq."
1,Dal bniedem vera bravu.
0,Basta jitbqabaq u jghajjat - seklu l boghod mir realta.
0,Għal kull storja għandu verżjoni fejn il-PN u EFA joħorġu jfuħu u l-PL terrorist u ħażin.
0,Jaqqqqqqqqqqqqq tad dardir... biex jghidlek dal barri bla qrun li 2013 kif inbidel il gvern dizastru... giex nazzjonalisti impestati iddisprati... u morru sibu zobb u dahhluh f sormkom... [NAME] mur inhexa int u l PN li tinnega li int parti minnu
1,Punti Validi bla tidwir mal lewza.
1,Well done [NAME].
0,L-angolu tal cameras qieghed hazin
1,"Jien mhux persuna li nemmen fil-partigjanizmu u nista nghid li l-anqas ghandi kulur, imma wara li tkellimt u zammejt ruhi aggornat fiz-zewg partiti principali f'Malta, nemmen li illum il-PN bir-rizorzi umani li ghandu, hu l-ahjar vizzjoni ghall-pajjiz."
0,Iktar paga tfisser li iktar ha jaghmlu biex jibqghu hemm - u kif jibqghu hemm jekk ma jibqghux jaghmlu pjaciri?
0,B'nies bhal dan l PN ha jibqa fl oppozizzjoni ghal ghomru
0,Milli nista nara l istudju l iehor kien isbah!
0,L-aktar ħaġa li fhimt hija li mghandiex ideja ta pjanar fdan il-pajjiż.
0,U mhux hekk biss meta nagħmlu pjan probabilment nitfawa fuq l-ixkaffa sakemm l-affarijiet jibdew jikkrollaw
0,Mhux ovja tohrog permessi ghal aktar lukandi!
0,Eżattament 😢
0,Minn izb adu jahseb li ir rap m andux bzonn skill level?
0,"Jkk xi hadd jahseb ekk jew xih daqt tmut, jew andek xi haga hazina fl intelletwalita tijak."
0,"U jek tinbidel il policy, min kin bilaqal u forsi ma ridc jizvilupa alissa xha jamel qisek andek investiment li bdaqa ta [NAME] ha jwaqalu il vallur tal propjeta tiju bmod alarmanti."
0,Meta Prim Ministru jghidlek ghandu dritt jibni... sas sema?
0,Ghandek membri fuq l bord li huma business ma zviluppaturi!
0,Dik qeghda biss ghal min qed jirriskja f dan s settur ghar rebgha!
1,Kemm nixtieq li nies esperti u mingħajr ebda aġenda moħbija bħall-Profs [SURNAME] jkollhom xi influenza fuq il-politiċi tal-lum.
