-1,(Il-kanzunetta kollha insomma...)
1,Bellezza ❤️
1,Bellezza!
1,"Veru li din diska dwar l-imħabba, imma dak it-tmiem <3"
1,Wisq 🙌
1,Iktar ma nismagħha iktar togħġobni.
1,Sabiħa din il-verżjoni.
0,Xi ħniżrija 🖤
0,Lanqas temmen li xi hadt jista jaghmel bicca xoghol daqshekk hazina.
1,"Mużika, lirika u vuċijiet eċċezzjonali!"
1,Prosit tassew!!
-1,Ladraba nohorgu minn din is-sitwazzjoni ghamluha video ufficcjali.
1,Wahda mill isbah diski li qatt smajt!!
1,Prosit u grazzi.
1,"F'Jannar fil- bard, soothing hekk iva soothing... hekk ftit il boghod b'dan il hoss tfakruni fir- Radiohead."
1,Xi ġmiel :)
1,"Tal-genn, l-ewwel darba li smajtha u vera ta widna, taghtni retro feel."
1,"Armonija Bil-vuċijiet eċċellenti, Ħila fuq l-istrumenti xejn inqas."
-1,Komplu serjin hekk.
1,Xi ġmieĺ!
1,Emożżjonali!
-1,Wenzzzz - (fittixt) - tfakkarni fl- [NAME] [SURNAME] u l- HW ta' fil ghodu tal- French/ Biology/Chemistry
1,Il-kanzunetti kollha sbieh.
1,Fuckin grazzi li tezistu <3
1,"Ibqaw ghamlu il muzika, grazzi :)"
1,Ma nistax nieqaf nismaghha... prosit tassew!
1,' Mela : 1) Alla jħobb id-dinja.
-1,2) Ġesu' huwa l-iben ta' Alla.
-1,4) Min jemmen f' Ġesu' mhux se jkollu ħajja faċli jew xi benefiċċju f'din id-dinja.
0,Hekk jifqu ifottu qas hemm bzonn aktar taxxa!
0,Mohhok biex tolli t taxxa
1,"Prosit [NAME], tassew bravu."
-1,Kwazi kwazi qas temmen li Ghawdxi 😊!!
0,You talk too much [NAME]
1,Poddata mill-aqwa u verament interessanti li tħeġġeġ iktar ħsieb fil-fond.
-1,"It-teoriji li semmejtu huma ta' min jirrifletti fuqhom, u żiedu saffi oħra ta' fond mal-poddata."
0,Kif ma tistghux idahhluha f mohkom jahasra??
1,Ma tistax titkellem ahjar min hekk [NAME] [SURNAME].
0,"Ghandkom ragun, imma kif ha jixtru flat ta 300.000 u thalsu, jekk ma jahdmux it tnejn, il postijiet iridu ikun prezz ragonevoli"
1,"[NAME] u [NAME] ghadna bzonn 2 bhalkom, biex tmexxu lil Malta."
1,It 2 narakom serji u li jista isir bidla f pajjizna.
1,"Smajt il podcast b attenzjoni kbira u certu dieqa... [NAME] [NAME] jider tifel genwin, kapaci, ragel tal familja u b valuri tajbin."
0,Imma sfortunatament jibqa jobzoq l-istess narrativa (u anke certu hdura) li time and time again falliet ghal PN.
0,Il poplu wera [SURNAME] li mhix strategija tajba u jibqaw bl istess diska.
-1,"Filwaqt li l-issue primarja li ghandhom, il-leader, tibqa ma tigix indirizzata."
1,Niehu pjacir insegwik.
1,[NAME] role model ta vera u Ragel sew
1,Well done
1,Interessanti ferm!
1,Żewġ kings
1,Podcast minn l-aktar interresanti.
1,2 minn nies f hajti li inhobb u nirrispetta.
1,Episodju tal-genn.
1,Episodju tal-genn!
1,[NAME] helu u simpatiku wisq.
0,L-iehor m'ghandux is-simpatija ta' [NAME].
1,Xieraq 🤗
1,[NAME] vera persuna gennwina!
-1,Mghadux iz-zmien ta [NAME] [SURNAME] jew [NAME].
-1,Jien nigi ommok taf xx
-1,"Kullħadd jista jsir addict, u tibda minn dik l-ewwel darba!"
1,Jn vera naprezza n nies li jigu l funeral... Imma nahseb li kieku dawk in nies sabu saghtejn qabel il funeral u qattghuha ma l individwu kien ikun hafna ahjar... ❤❤❤
1,"Li qeda tghid Miran, huwa kollhu veru, Ghadni kemm gejt bzonn is servizz taghha, u taghtna servizz veru tajjeb, Hasbet ghall kollox, Grazzi Miren talli taffejtina dak il piz kollhu."
